origem,quantidade,destino_proposto,estado
whatsapp_session_status_log,3249,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
whatsapp_sessions,4,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
workspace_access_audit_logs,5,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
workspace_hub_configs,0,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
workspace_invitations,2,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
workspace_member_channel_restrictions,1,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
workspace_members,9,mapeamento de identidade; sem ativação,MAPEAR_E_VALIDAR
workspace_role_permissions,66,matriz de permissões revisada,MAPEAR_E_VALIDAR
workspace_roles,3,matriz de papéis revisada,MAPEAR_E_VALIDAR
workspace_stripe_configs,0,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
workspace_subscriptions,1,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
workspace_team_members,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
workspace_teams,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
workspace_user_permissions,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
workspaces,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
platform_admins,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
internal_message_delete_log,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
role_templates,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
internal_message_attachments,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
internal_conversation_pins,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
appointment_reminders,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
whitelabel_domain_requests,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
profiles,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
internal_message_edit_log,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
followup_job_runs,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
reseller_price_overrides,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
platform_resellers,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
crm_contact_import_rows,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
internal_message_mentions,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
admin_announcements,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
reseller_payouts,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
wallet_consents,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
admin_mrr_snapshots,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
reseller_applications,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
internal_message_reactions,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
crm_conversation_tags,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
password_reset_tokens,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
crm_product_images,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
crm_deal_products,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
stripe_webhook_events,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
crm_deal_conversations,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
plans,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
reseller_audit_log,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
identity_user_links,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
llm_provider_configs,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
admin_audit_log,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
email_verification_codes,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
internal_conversation_participants,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
followup_job_locks,NAO_MEDIDA,Derivar escopo pelos pais autorizados; nunca exportar a tabela global,ESCOPO_A_VALIDAR
